Lien;Source;Marque;Modèle;Année;Localisation;Prix_Initial;Prix_Dernier;Premiere_Vue;Derniere_Vue;Statut;Date_Disparition;Jours_En_Ligne;Nb_Reapparitions;Etait_Opportunite
https://www.automax.tn/annonces/toyota-agya-2/;AutoMax;Toyota;Agya;2022;Bizerte;36500.0;36500.0;2026-07-25;2026-08-09;Active;;;0;True
https://www.automax.tn/annonces/citroen-c-elysee-3/;AutoMax;Citroën;C-Elysee;2015;Kairouan;20000.0;20000.0;2026-07-25;2026-08-09;Active;;;0;True
https://www.automax.tn/annonces/volkswagen-golf-7-9/;AutoMax;Volkswagen;Golf 7;2018;Nabeul;98000.0;98000.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/peugeot-301-4/;AutoMax;Peugeot;301;2023;Bizerte;34700.0;34700.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/fiat-panda-city-cross/;AutoMax;Fiat;Panda City Cross;2022;Bizerte;44500.0;44500.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/mercedes-classe-c-6/;AutoMax;Mercedes-Benz;Classe C;2018;Tunis;79000.0;79000.0;2026-07-25;2026-08-09;Active;;;0;True
https://www.automax.tn/annonces/peugeot-208-11/;AutoMax;Peugeot;208;2023;Bizerte;38000.0;38000.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/kia-rio-12/;AutoMax;Kia;Rio;2022;Bizerte;49800.0;49800.0;2026-07-25;2026-08-09;Active;;;0;True
https://www.automax.tn/annonces/suzuki-ciaz/;AutoMax;Suzuki;Ciaz;2019;Sousse;45000.0;45000.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/mercedes-classe-c-5/;AutoMax;Mercedes-Benz;Classe C;2010;Tunis;38000.0;38000.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/peugeot-208-7/;AutoMax;Peugeot;208;2023;Bizerte;37500.0;37500.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/volkswagen-polo-7-2/;AutoMax;Volkswagen;Polo 7;2013;Sfax;32000.0;32000.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/hyundai-tucson-2/;AutoMax;Hyundai;Tucson;2021;Tunis;79000.0;79000.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/bmw-serie-3-5/;AutoMax;Bmw;Serie 3;2009;Monastir;38000.0;38000.0;2026-07-25;2026-08-09;Active;;;0;True
https://www.automax.tn/annonces/volkswagen-polo-sedan/;AutoMax;Volkswagen;Polo Sedan;2015;Ariana;35200.0;35200.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/chery-tiggo-3-3/;AutoMax;Chery;Tiggo 3;2023;Tunis;56950.0;56950.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/peugeot-3008-5/;AutoMax;Peugeot;3008;2010;Ben Arous;0.0;0.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/kia-sportage-7/;AutoMax;Kia;Sportage;2015;Nabeul;54000.0;54000.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/seat-leon-4/;AutoMax;Seat;Leon;2021;Ariana;78000.0;78000.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/volkswagen-passat-5/;AutoMax;Volkswagen;Passat;2008;Monastir;34000.0;34000.0;2026-07-25;2026-08-09;Active;;;0;False
https://www.automax.tn/annonces/haval-h6-3/;AutoMax;Haval;H6;2020;Tunis;78000.0;78000.0;2026-07-25;2026-08-09;Active;;;0;False
