Titre;Prix;Lien;Source;Annonce-Detectee;Annonce-Deposee;Marque;Modèle;Année;Kilométrage;Boite_Vitesse;Energie;Localisation;Puissance_Fiscale;Etat_Vehicule;Statut;Description;Options;Nb_Options;Transmission;Date_Reference_Annonce;Age_Annonce_Jours
Toyota Agya;36500.0;https://www.automax.tn/annonces/toyota-agya-2/;AutoMax;2026-07-13;2026-07-12;Toyota;Agya;2022.0;80000.0;Automatique;Essence;Bizerte;5.0;;;;;;;2026-07-12;33
renault megane;15000.0;https://www.tayara.tn/item/voitures/ariana/ariana/renault-megane/6a395fe211fc36f5d734bc57/;tayara.tn;2026-07-13;2026-06-23;Renault;Megane;2006.0;240000.0;Manuelle;Diesel;Ariana;7.0;;;;;;;2026-06-23;52
Symbol 3 A vendre;36000.0;https://www.tayara.tn/item/voitures/tunis/lac-1/symbol-3-a-vendre/6a39444fb2b93a99b975d64c/;tayara.tn;2026-07-13;2026-06-23;Renault;Symbol;2017.0;158000.0;Manuelle;Essence;Tunis;5.0;;;;;;;2026-06-23;52
Une magnifique Jaguar;94500.0;https://www.tayara.tn/item/voitures/bja/tboursouk/une-magnifique-jaguar/6a3940c6b2b93a99b975d31f/;tayara.tn;2026-07-13;2026-06-23;Jaguar;XF;2018.0;89000.0;Automatique;Diesel;Béja;12.0;;;;;;;2026-06-23;52
BMW X1;66900.0;https://www.tayara.tn/item/voitures/nabeul/nabeul/bmw-x1/6a393d3611fc36f5d734a258/;tayara.tn;2026-07-13;2026-06-23;Bmw;X1;2016.0;198800.0;Manuelle;Diesel;Nabeul;6.0;;;;;;;2026-06-23;52
Dacia sandero gpl;40000.0;https://www.tayara.tn/item/voitures/nabeul/hammamet/dacia-sandero-gpl/6a391b3511fc36f5d734883a/;tayara.tn;2026-07-13;2026-06-22;Dacia;Sandero;2021.0;122000.0;;Hybride essence;Nabeul;;;;;;;;2026-06-22;53
Mégane 2;19800.0;https://www.tayara.tn/item/voitures/ben-arous/fouchana/mgane-2/6a38f1dcb2b93a99b9759403/;tayara.tn;2026-07-13;2026-06-22;Renault;Megane;2006.0;244.0;Manuelle;Essence;Ben Arous;6.0;;;;;;;2026-06-22;53
Volkswagen Polo 3 (6N) — Blanche, Excellent État;11000.0;https://www.tayara.tn/item/voitures/ben-arous/mohamedia/volkswagen-polo-3-6n-blanche-excellent-tat/6a38497811fc36f5d7342a58/;tayara.tn;2026-07-13;2026-06-22;Volkswagen;Polo;1996.0;;Manuelle;Essence;Ben Arous;5.0;;;;;;;2026-06-22;53
Avendre voiture hyundai venue;85000.0;https://www.tayara.tn/item/voitures/tunis/cit-olympique/avendre-voiture-hyundai-venue/6a38424f11fc36f5d7342542/;tayara.tn;2026-07-13;2026-06-22;Hyundai;Venue;2023.0;40000.0;Automatique;Essence;Tunis;16.0;;;;;;;2026-06-22;53
VW Transporter Cargo;61000.0;https://www.tayara.tn/item/voitures/la-manouba/la-manouba/vw-transporter-cargo/6a38332911fc36f5d7341ae4/;tayara.tn;2026-07-13;2026-06-22;Volkswagen;Transporter;2021.0;103000.0;Manuelle;Diesel;La Manouba;;;;;;;;2026-06-22;53
A vendre : Belle voiture Peugeot 207cc très peu roulée;27000.0;https://www.tayara.tn/item/voitures/tunis/tunis/a-vendre-belle-voiture-peugeot-207cc-trs-peu-roule/6a3832a611fc36f5d7341a9f/;tayara.tn;2026-07-13;2026-06-22;Peugeot;207 cc;2007.0;126000.0;Manuelle;Essence;Tunis;7.0;;;;;;;2026-06-22;53
VW Caddy;47000.0;https://www.tayara.tn/item/voitures/tunis/tunis/vw-caddy/6a38317211fc36f5d73419d8/;tayara.tn;2026-07-13;2026-06-22;Volkswagen;Caddy;2021.0;129000.0;Manuelle;Diesel;Tunis;6.0;;;;;;;2026-06-22;53
🚦À VENDRE Range Rover Evoque R Dynamic;138000.0;https://www.tayara.tn/item/voitures/ariana/ennasr/-vendre-range-rover-evoque-r-dynamic/6a381da811fc36f5d7340ab1/;tayara.tn;2026-07-13;2026-06-22;Land Rover;Range Rover Evoque;2020.0;80000.0;Automatique;Essence;Ariana;13.0;;;;;;;2026-06-22;53
FORD FOCUS 2010;27000.0;https://www.tayara.tn/item/voitures/tunis/el-omrane-suprieur/ford-focus-2010/6a38199911fc36f5d734079c/;tayara.tn;2026-07-13;2026-06-22;Ford;Focus;2010.0;156000.0;Manuelle;Essence;Tunis;6.0;;;;;;;2026-06-22;53
Vente de voiture;27000.0;https://www.tayara.tn/item/voitures/ariana/la-soukra/vente-de-voiture/6a37f16411fc36f5d733f28f/;tayara.tn;2026-07-13;2026-06-22;Chery;A3;2016.0;200.0;Manuelle;Essence;Ariana;;;;;;;;2026-06-22;53
VENTE BELLE VOITURE PEUGEOT 308 EN TRES BON ETAT;32000.0;https://www.tayara.tn/item/voitures/tunis/tunis/vente-belle-voiture-peugeot-308-en-tres-bon-etat/6a37db72b2b93a99b97511d4/;tayara.tn;2026-07-13;2026-06-21;Peugeot;308;2014.0;145000.0;Manuelle;Essence;Tunis;5.0;;;;;;;2026-06-21;54
Peugeot 208 model 2022;36900.0;https://www.tayara.tn/item/voitures/gabs/gabs/peugeot-208-model-2022/6a38dd19b2b93a99b9758a0a/;tayara.tn;2026-07-13;2026-06-22;Peugeot;208;2022.0;64000.0;Manuelle;Essence;Gabès;5.0;;;;;;;2026-06-22;53
Mercedes Benz GLA250E;160000.0;https://www.tayara.tn/item/voitures/sousse/hammam-sousse/mercedes-benz-gla250e/6a398b46b2b93a99b9760759/;tayara.tn;2026-07-13;2026-06-23;Mercedes-Benz;250;2020.0;92000.0;Automatique;Hybride;Sousse;8.0;;;;;;;2026-06-23;52
Renault Kwid;33000.0;https://www.tayara.tn/item/voitures/tunis/tunis/renault-kwid/6a3ac74311fc36f5d7358a1f/;tayara.tn;2026-07-13;2026-06-24;Renault;Kwid;2022.0;49944.0;Manuelle;Essence;Tunis;4.0;;;;;;;2026-06-24;51
Vente voiture;58500.0;https://www.tayara.tn/item/voitures/tunis/tunis/vente-voiture/6a3aba5d11fc36f5d7358044/;tayara.tn;2026-07-13;2026-06-24;Kia;Rio;2022.0;80000.0;Manuelle;Essence;Tunis;5.0;;;;;;;2026-06-24;51
Suzuki célerio;28500.0;https://www.tayara.tn/item/voitures/sfax/route-de-laroport/suzuki-clerio/6a3aba1eb2b93a99b976ae26/;tayara.tn;2026-07-13;2026-06-24;Suzuki;Celerio;2018.0;164000.0;Manuelle;Essence;Sfax;4.0;;;;;;;2026-06-24;51
