Titre;Prix;Lien;Source;Annonce-Detectee;Annonce-Deposee;Marque;Modèle;Année;Kilométrage;Boite_Vitesse;Energie;Localisation;Puissance_Fiscale;Etat_Vehicule;Statut;Description;Options;Nb_Options
Toyota Agya;36500.0;https://www.automax.tn/annonces/toyota-agya-2/;AutoMax;2026-07-13;2026-07-12;Toyota;Agya;2022;80000.0;Automatique;Essence;Bizerte;5;;;;;
Mercedes Benz GLA250E;160000.0;https://www.tayara.tn/item/voitures/sousse/hammam-sousse/mercedes-benz-gla250e/6a398b46b2b93a99b9760759/;tayara.tn;2026-07-13;2026-06-23;Mercedes-Benz;250;2020;92000.0;Automatique;Hybride;Sousse;8.0;;;;;
Vente b9;36500000.0;https://www.tayara.tn/item/voitures/sfax/route-gremda/vente-b9/6a39889fb2b93a99b97605a9/;tayara.tn;2026-07-13;2026-06-23;Renault;;2008;200100.0;Manuelle;Diesel;Sfax;6.0;;;;;
Vente b9;36500000.0;https://www.tayara.tn/item/voitures/sfax/route-gremda/vente-b9/6a39887411fc36f5d734d7e1/;tayara.tn;2026-07-13;2026-06-23;Renault;;2008;200100.0;Manuelle;Diesel;Sfax;6.0;;;;;
renault megane;15000.0;https://www.tayara.tn/item/voitures/ariana/ariana/renault-megane/6a395fe211fc36f5d734bc57/;tayara.tn;2026-07-13;2026-06-23;Renault;Megane;2006;240000.0;Manuelle;Diesel;Ariana;7.0;;;;;
Symbol 3 A vendre;36000.0;https://www.tayara.tn/item/voitures/tunis/lac-1/symbol-3-a-vendre/6a39444fb2b93a99b975d64c/;tayara.tn;2026-07-13;2026-06-23;Renault;Symbol;2017;158000.0;Manuelle;Essence;Tunis;5.0;;;;;
Une magnifique Jaguar;94500.0;https://www.tayara.tn/item/voitures/bja/tboursouk/une-magnifique-jaguar/6a3940c6b2b93a99b975d31f/;tayara.tn;2026-07-13;2026-06-23;Jaguar;XF;2018;89000.0;Automatique;Diesel;Béja;12.0;;;;;
BMW X1;66900.0;https://www.tayara.tn/item/voitures/nabeul/nabeul/bmw-x1/6a393d3611fc36f5d734a258/;tayara.tn;2026-07-13;2026-06-23;Bmw;X1;2016;198800.0;Manuelle;Diesel;Nabeul;6.0;;;;;
Renault trafic;;https://www.tayara.tn/item/voitures/nabeul/hammamet/renault-trafic/6a39342311fc36f5d7349ad2/;tayara.tn;2026-07-13;2026-06-23;Renault;Laguna;;0.0;Manuelle;Diesel;Nabeul;;;;;;
Partner;;https://www.tayara.tn/item/voitures/nabeul/hammamet/partner/6a393209b2b93a99b975c735/;tayara.tn;2026-07-13;2026-06-23;Peugeot;Partner;2009;0.0;Manuelle;Diesel;Nabeul;;;;;;
Dacia sandero gpl;40000.0;https://www.tayara.tn/item/voitures/nabeul/hammamet/dacia-sandero-gpl/6a391b3511fc36f5d734883a/;tayara.tn;2026-07-13;2026-06-22;Dacia;Sandero;2021;122000.0;;Hybride essence;Nabeul;;;;;;
chevrelet;;https://www.tayara.tn/item/voitures/ben-arous/hammam-chott/chevrelet/6a3916a811fc36f5d7348469/;tayara.tn;2026-07-13;2026-06-22;Chevrolet;Aveo;2011;250000.0;Manuelle;Essence;Ben Arous;5.0;;;;;
Kia Picanto Toute Option – État Neuf – Très Économique;54.7;https://www.tayara.tn/item/voitures/tunis/tunis/kia-picanto-toute-option-tat-neuf-trs-conomique/6a3903ef11fc36f5d73474c0/;tayara.tn;2026-07-13;2026-06-22;Kia;Picanto;2026;940.0;Automatique;Essence;Tunis;4.0;;;;;
Vente b9;36500000.0;https://www.tayara.tn/item/voitures/sfax/route-gremda/vente-b9/6a398c5e11fc36f5d734daa8/;tayara.tn;2026-07-13;2026-06-23;Renault;;2008;200100.0;Manuelle;Diesel;Sfax;6.0;;;;;
Mégane 2;19800.0;https://www.tayara.tn/item/voitures/ben-arous/fouchana/mgane-2/6a38f1dcb2b93a99b9759403/;tayara.tn;2026-07-13;2026-06-22;Renault;Megane;2006;244.0;Manuelle;Essence;Ben Arous;6.0;;;;;
Golf 2 essence;66666.0;https://www.tayara.tn/item/voitures/mahdia/chorbane/golf-2-essence/6a38e2acb2b93a99b9758bff/;tayara.tn;2026-07-13;2026-06-22;Volkswagen;Golf;;;Manuelle;Essence;Mahdia;;;;;;
Peugeot 208 model 2022;36900.0;https://www.tayara.tn/item/voitures/gabs/gabs/peugeot-208-model-2022/6a38dd19b2b93a99b9758a0a/;tayara.tn;2026-07-13;2026-06-22;Peugeot;208;2022;64000.0;Manuelle;Essence;Gabès;5.0;;;;;
Volkswagen Polo 3 (6N) — Blanche, Excellent État;11000.0;https://www.tayara.tn/item/voitures/ben-arous/mohamedia/volkswagen-polo-3-6n-blanche-excellent-tat/6a38497811fc36f5d7342a58/;tayara.tn;2026-07-13;2026-06-22;Volkswagen;Polo;1996;;Manuelle;Essence;Ben Arous;5.0;;;;;
Avendre voiture hyundai venue;85000.0;https://www.tayara.tn/item/voitures/tunis/cit-olympique/avendre-voiture-hyundai-venue/6a38424f11fc36f5d7342542/;tayara.tn;2026-07-13;2026-06-22;Hyundai;Venue;2023;40000.0;Automatique;Essence;Tunis;16.0;;;;;
VW Transporter Cargo;61000.0;https://www.tayara.tn/item/voitures/la-manouba/la-manouba/vw-transporter-cargo/6a38332911fc36f5d7341ae4/;tayara.tn;2026-07-13;2026-06-22;Volkswagen;Transporter;2021;103000.0;Manuelle;Diesel;La Manouba;;;;;;
A vendre : Belle voiture Peugeot 207cc très peu roulée;27000.0;https://www.tayara.tn/item/voitures/tunis/tunis/a-vendre-belle-voiture-peugeot-207cc-trs-peu-roule/6a3832a611fc36f5d7341a9f/;tayara.tn;2026-07-13;2026-06-22;Peugeot;207 CC;2007;126000.0;Manuelle;Essence;Tunis;7.0;;;;;
VW Caddy;47000.0;https://www.tayara.tn/item/voitures/tunis/tunis/vw-caddy/6a38317211fc36f5d73419d8/;tayara.tn;2026-07-13;2026-06-22;Volkswagen;Caddy;2021;129000.0;Manuelle;Diesel;Tunis;6.0;;;;;
🚦À VENDRE Range Rover Evoque R Dynamic;138000.0;https://www.tayara.tn/item/voitures/ariana/ennasr/-vendre-range-rover-evoque-r-dynamic/6a381da811fc36f5d7340ab1/;tayara.tn;2026-07-13;2026-06-22;Land Rover;Range Rover Evoque;2020;80000.0;Automatique;Essence;Ariana;13.0;;;;;
