Titre;Prix_DT;Lien;Source;Annonce-Detectee;Annonce-Deposee;Marque;Modèle;Année;Kilométrage;Boite;Energie;Localisation;Puissance_Fiscale;Etat_Vehicule;Statut
Toyota Agya;36500;https://www.automax.tn/annonces/toyota-agya-2/;AutoMax;2026-07-13;2026-07-12;Toyota;Agya;2022;80000;Automatique;Essence;Bizerte;5;;
Citroen C-Elysee;20000;https://www.automax.tn/annonces/citroen-c-elysee-3/;AutoMax;2026-07-13;2026-07-09;Citroen;C-Elysee;2015;207000;Manuelle;Diesel;Kairouan;5;;
Volkswagen Golf 7;98000;https://www.automax.tn/annonces/volkswagen-golf-7-9/;AutoMax;2026-07-13;2026-07-07;Volkswagen;Golf 7;2018;152000;Manuelle;Essence;Nabeul;6;;
Peugeot 301;34700;https://www.automax.tn/annonces/peugeot-301-4/;AutoMax;2026-07-13;2026-07-07;Peugeot;301;2023;90000;Manuelle;Essence;Bizerte;5;;
Fiat Panda City Cross;44500;https://www.automax.tn/annonces/fiat-panda-city-cross/;AutoMax;2026-07-13;2026-07-06;Fiat;Panda City Cross;2022;70000;Manuelle;Essence;Bizerte;4;;
Mercedes Classe C;79000;https://www.automax.tn/annonces/mercedes-classe-c-6/;AutoMax;2026-07-13;2026-07-04;Mercedes;Classe C;2018;123000;Automatique;Essence;Tunis;8;;
Peugeot 208;38000;https://www.automax.tn/annonces/peugeot-208-11/;AutoMax;2026-07-13;2026-07-01;Peugeot;208;2023;69000;Manuelle;Essence;Bizerte;5;;
Kia Rio;49800;https://www.automax.tn/annonces/kia-rio-12/;AutoMax;2026-07-13;2026-07-01;Kia;Rio;2022;90000;Manuelle;Essence;Bizerte;5;;
Suzuki Ciaz;45000;https://www.automax.tn/annonces/suzuki-ciaz/;AutoMax;2026-07-13;2026-06-29;Suzuki;Ciaz;2019;124;Manuelle;Essence;Sousse;5;;
Mercedes Classe C;38000;https://www.automax.tn/annonces/mercedes-classe-c-5/;AutoMax;2026-07-13;2026-06-29;Mercedes;Classe C;2010;267000;Manuelle;Essence;Tunis;9;;
Peugeot 208;37500;https://www.automax.tn/annonces/peugeot-208-7/;AutoMax;2026-07-13;2026-06-28;Peugeot;208;2023;70000;Manuelle;Essence;Bizerte;5;;
Volkswagen Polo 7;32000;https://www.automax.tn/annonces/volkswagen-polo-7-2/;AutoMax;2026-07-13;2026-06-28;Volkswagen;Polo 7;2013;265000;Manuelle;Essence;Sfax;5;;
Hyundai Tucson;79000;https://www.automax.tn/annonces/hyundai-tucson-2/;AutoMax;2026-07-13;2026-06-27;Hyundai;Tucson;2021;110000;Automatique;Essence;Tunis;10;;
Bmw Serie 3;38000;https://www.automax.tn/annonces/bmw-serie-3-5/;AutoMax;2026-07-13;2026-06-26;Bmw;Serie 3;2009;230000;Automatique;Diesel;Monastir;8;;
Volkswagen Polo Sedan;35200;https://www.automax.tn/annonces/volkswagen-polo-sedan/;AutoMax;2026-07-13;2026-06-23;Volkswagen;Polo Sedan;2015;230000;Manuelle;Essence;Ariana;5;;
