Source;Titre;Marque;Modèle;Année;Prix_DT;Kilométrage;Energie;Boite;Localisation;Puissance_Fiscale;Etat_Vehicule;Description;Annonce-Deposee;Annonce-Detectee;Statut;Lien
sayyaratn.com;Renault Renault Express Van 2024 — 123 333 DT;Renault;Renault Express Van;2024;123333;9000;diesel;manuelle;;5;excellent;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/92e54cd9-4138-4931-9391-43764ddad02e
sayyaratn.com;Peugeot 407 2005 — 29 000 DT;Peugeot;407;2005;29000;150000;essence;automatique;;9;excellent;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/8da0cc44-5ba5-47a4-b451-676d4fc05e02
sayyaratn.com;Peugeot Partner k9 2021 — 43 000 DT;Peugeot;Partner k9;2021;43000;185000;diesel;manuelle;;6;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/65283b4b-6450-475d-bd2d-6cdd7c19d6f0
sayyaratn.com;Skoda Fabia 2015 — 35 DT;Skoda;Fabia;2015;35;149;essence;manuelle;;4;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/6f40360d-6c32-4942-ab0d-dde91800d077
sayyaratn.com;Chery, Tiggo 3x 2023 — 56 950 DT;Chery,;Tiggo 3x;2023;56950;45000;essence;automatique;;6;excellent;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/df9108d1-6d2b-4d7e-bb89-fec5a4e30254
sayyaratn.com;Mercedes-Benz GLC 300 e 4MATIC AMG Line Premium Plus 2023 — 260 000 DT;Mercedes-Benz;GLC 300 e 4MATIC AMG Line Premium Plus;2023;260000;50000;hybride;automatique;;11;excellent;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/bb28a8bb-f8c4-4dd7-9635-2ab5c8a7a5f4
sayyaratn.com;Hyundai i10 2022 — 37 500 DT;Hyundai;i10;2022;37500;92000;essence;manuelle;;4;excellent;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/eb47da33-a157-4f21-99b6-26fefa29ac3f
sayyaratn.com;Citroën DS3 2013 — 27 500 DT;Citroën;DS3;2013;27500;115000;essence;manuelle;;5;tres_bon;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/40f26790-cc1f-4413-8ffa-9220e83c1d5f
sayyaratn.com;Peugeot Peugeot 407 2005 — 29 000 DT;Peugeot;Peugeot 407;2005;29000;150000;essence;automatique;;9;excellent;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/73197842-689b-4996-867e-01c060bf1e09
sayyaratn.com;Fiat Grand Punto 2018 — 28 500 DT;Fiat;Grand Punto;2018;28500;150000;essence;manuelle;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/dca1e519-990c-4575-9046-7cf4817f1a4c
sayyaratn.com;Renault MEGANE 2010 — 22 000 DT;Renault;MEGANE;2010;22000;240000;diesel;manuelle;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/eb70bc5c-eba8-4d6d-b844-7ee8dd781e99
sayyaratn.com;Dacia LOGAN MCV 2021 — 40 000 DT;Dacia;LOGAN MCV;2021;40000;109998;essence;manuelle;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/571436c7-a8c0-4e93-b246-098f9221fb75
sayyaratn.com;Renault Megane 2026 — 31 000 DT;Renault;Megane;2026;31000;158000;essence;manuelle;;7;tres_bon;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/fc693f39-669d-4c93-8c85-f584aaecd449
sayyaratn.com;Renault Symbol 2010 — 28 000 DT;Renault;Symbol;2010;28000;142000;essence;manuelle;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/b3558750-0d36-4206-ad2b-10be94845f8b
sayyaratn.com;Peugeot 208 2016 — 31 500 DT;Peugeot;208;2016;31500;107000;essence;manuelle;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/814ebf7c-0cd4-4020-b7a6-4522906a4355
sayyaratn.com;Peugeot Expert 2020 — 55 500 DT;Peugeot;Expert;2020;55500;155000;diesel;manuelle;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/4227917a-a727-47c2-8078-b8bd9296aadf
sayyaratn.com;Peugeot 208 2016 — 25 500 DT;Peugeot;208;2016;25500;227000;essence;manuelle;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/5ee3a743-08ae-4c6d-804b-e22692622355
sayyaratn.com;Suzuki Grand vitara 2008 — 31 800 DT;Suzuki;Grand vitara;2008;31800;200000;essence;automatique;;;;;;2026-07-26;Active;https://www.sayyaratn.com/annonce/e7d3d770-9d27-4d2b-818f-a9b1dcd4bff9
