"Source";"Titre";"Marque";"Modèle";"Année";"Prix_DT";"Kilométrage";"Energie";"Boite";"Localisation";"Puissance_Fiscale";"Etat_Vehicule";"Description";"Options";"Nb_Options";"Annonce-Deposee";"Annonce-Detectee";"Statut";"Lien"
"tayara.tn";"Polo 7 Restylée";"Volkswagen";"Polo";"2016";"34000.0";"157000.0";"Essence";"Manuelle";"Sousse";"4.0";"";"";"";"";"2026-07-13";"2026-07-13";"";"https://www.tayara.tn/item/voitures/sousse/sousse/polo-7-restyle/6a54273b4956ba003a3f966a/"
"tayara.tn";"BMW X5 F15 X-Drive Pack M 2.5 d";"BMW";"X5";"2016";"100000.0";"190000.0";"Diesel";"Automatique";"Nabeul";"13.0";"";"";"";"";"2026-07-13";"2026-07-13";"";"https://www.tayara.tn/item/voitures/nabeul/nabeul/bmw-x5-f15-xdrive-pack-m-25-d/6a541cd47b31d9554f3c89a8/"
"tayara.tn";"particule je met  a vendre ma voiture reng ivoque 2020desel";"Land Rover";"Range Rover Evoque";"2020";"130.0";"73000.0";"Diesel";"Automatique";"Ariana";"9.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/ariana/ennasr/particule-je-met-a-vendre-ma-voiture-reng-ivoque-2020desel/6a540ee77b31d9554f3c815c/"
"tayara.tn";"Hyundai i20 Bonne Occasion a Vendre";"Hyundai";"I 20";"2018";"41000.0";"82000.0";"Essence";"Manuelle";"Tunis";"5.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/tunis/tunis/hyundai-i20-bonne-occasion-a-vendre/69f6000e62589ac95effdc77/"
"tayara.tn";"Mercedes Classe C 200 Bonne Occasion a Vendre";"Mercedes-Benz";"Classe C";"2009";"39500.0";"227000.0";"Diesel";"Automatique";"Tunis";"7.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/tunis/tunis/mercedes-classe-c-200-bonne-occasion-a-vendre/6a540d707b31d9554f3c8039/"
"tayara.tn";"OPEL ASTRA G ESSENCE 1.2";"Opel";"Astra";"";"20800.0";"287000.0";"Essence";"Manuelle";"Tunis";"5.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/tunis/tunis/opel-astra-g-essence-12/6a5409484956ba003a3f8589/"
"tayara.tn";"Voiture MG ZS";"MG";"ZS";"2019";"";"106000.0";"Essence";"Automatique";"Médenine";"7.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/mdenine/djerba-houmt-souk/voiture-mg-zs/6a53ff6d7b31d9554f3c77b6/"
"tayara.tn";"Voiture MG ZS";"MG";"ZS";"2019";"";"106000.0";"Essence";"Automatique";"Ben Arous";"7.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/ben-arous/boumhel/voiture-mg-zs/6a53fea24956ba003a3f7f47/"
"tayara.tn";"Belle BMW x1 phase 2 bvm pack M full options";"BMW";"X1";"2015";"";"158000.0";"Essence";"Manuelle";"Tunis";"9.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/tunis/l-aouina/belle-bmw-x1-phase-2-bvm-pack-m-full-options/6a53f73c4956ba003a3f7b2e/"
"tayara.tn";"PEUGEOT 208 ACTIVE PACK PREMIÈRE MAIN BOÎTE MANUELLE";"Peugeot";"208";"2023";"";"69000.0";"Essence";"Automatique";"Bizerte";"5.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/bizerte/bizerte/peugeot-208-active-pack-premire-main-bote-manuelle/6a53f7047b31d9554f3c7316/"
"tayara.tn";"PEUGEOT 301 PREMIÈRE MAIN TRÈS PROPRE BOÎTE MANUELLE";"Peugeot";"301";"2023";"34500.0";"115000.0";"Essence";"Automatique";"Ariana";"5.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/ariana/borj-louzir/peugeot-301-premire-main-trs-propre-bote-manuelle/6a53f6aa7b31d9554f3c72da/"
"tayara.tn";"PEUGEOT 301 PREMIÈRE MAIN TRÈS PROPRE BOÎTE MANUELLE";"Peugeot";"301";"2023";"34700.0";"90000.0";"Essence";"Automatique";"Ariana";"5.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/ariana/ariana/peugeot-301-premire-main-trs-propre-bote-manuelle/6a53f6757b31d9554f3c72c2/"
"tayara.tn";"KIA RIO PRESTIGE PREMIÈRE MAIN EN ÉTAT NEUF BOÎTE MANUELLE";"Kia";"Rio";"2022";"";"90000.0";"Essence";"Automatique";"Bizerte";"5.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/bizerte/bizerte/kia-rio-prestige-premire-main-en-tat-neuf-bote-manuelle/6a53f5a04956ba003a3f7a22/"
"tayara.tn";"voiture enfant 12v 3 a 4 ans  ysou9 wa7dou par accelerateur";"";"";"";"250.0";"";"";"";"Tunis";"";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/sports-et-loisirs/tunis/tunis/voiture-enfant-12v-3-a-4-ans-ysou9-wa7dou-par-accelerateur/6a53f4a44956ba003a3f7974/"
"tayara.tn";"Fiat Grande Punto";"Fiat";"Grande Punto";"2011";"23500.0";"220000.0";"Essence";"Manuelle";"Zaghouan";"5.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/zaghouan/zaghouan/fiat-grande-punto/6a53f45a4956ba003a3f794a/"
"tayara.tn";"passat b8 bako";"Volkswagen";"Passat";"2014.0";"56000.0";"190.0";"Diesel";"Manuelle";"Tunis";"5.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/tunis/autres-villes/passat-b8-bako/6a53ec934956ba003a3f749c/"
"tayara.tn";"Wvw taigo";"Volkswagen";"T-ROC";"2023";"";"50000.0";"Essence";"Manuelle";"Sousse";"6.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/sousse/kantaoui/wvw-taigo/6a53ec527b31d9554f3c6d04/"
"tayara.tn";"Hyundai Grand i10 – 1ère Main – Très Bon État";"Hyundai";"I 10";"2016";"30000.0";"215222.0";"Essence";"Manuelle";"Tunis";"5.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/tunis/el-menzah-9/hyundai-grand-i10-1re-main-trs-bon-tat/6a53e7857b31d9554f3c6a12/"
"tayara.tn";"BYD   f3";"BYD";"F3";"";"35000.0";"67000.0";"Essence";"Manuelle";"Tunis";"7.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/tunis/tunis/byd-f3/6a53e2fd4956ba003a3f6ee7/"
"tayara.tn";"Ford Fiesta Titanium 2012 (5 CV Essence)";"Ford";"Fiesta";"2012";"27500.0";"261200.0";"Essence";"Manuelle";"tunis";"5.0";"";"";"";"";"2026-07-12";"2026-07-13";"";"https://www.tayara.tn/item/voitures/tunis/tunis/ford-fiesta-titanium-2012-5-cv-essence/6a53de3a4956ba003a3f6c35/"
